year,population,incidence_100k,incidence_lo,incidence_hi,mortality_100k,mortality_lo,mortality_hi,tb_hiv_pct,case_detection_rate,afr_avg_incidence_100k,afr_avg_mortality_100k,afr_countries_reporting
2000,122851984,219.0,143.0,311.0,102.0,60.0,155.0,29.0,9.6,327.2391304347826,113.22826086956522,46
2001,126152678,219.0,143.0,311.0,94.0,56.0,141.0,25.0,17.0,334.4347826086956,114.47173913043478,46
2002,129583026,219.0,143.0,311.0,95.0,57.0,143.0,22.0,14.0,341.32608695652175,110.54130434782608,46
2003,133119801,219.0,143.0,311.0,93.0,56.0,140.0,21.0,15.0,352.32608695652175,111.01521739130435,46
2004,136756848,219.0,143.0,311.0,89.0,54.0,133.0,20.0,19.0,353.8478260869565,109.72608695652173,46
2005,140490722,219.0,143.0,311.0,88.0,53.0,132.0,20.0,21.0,353.9130434782609,112.02173913043478,46
2006,144329764,219.0,143.0,311.0,88.0,52.0,132.0,21.0,22.0,350.9347826086956,109.8254347826087,46
2007,148294028,219.0,143.0,311.0,85.0,51.0,128.0,22.0,25.0,342.9347826086956,107.60217391304347,46
2008,152382506,219.0,143.0,311.0,88.0,61.0,119.0,27.0,26.0,332.92826086956524,102.8108695652174,46
2009,156595758,219.0,143.0,311.0,86.0,60.0,117.0,26.0,26.0,330.10869565217394,96.58260869565218,46
2010,160952853,219.0,143.0,311.0,88.0,61.0,120.0,25.0,24.0,322.1304347826087,81.93978260869565,46
2011,165463745,219.0,143.0,311.0,89.0,62.0,120.0,26.0,24.0,305.93617021276594,81.85744680851064,47
2012,170075932,219.0,143.0,311.0,86.0,59.0,118.0,23.0,25.0,292.82978723404256,80.44978723404255,47
2013,174726123,219.0,143.0,311.0,85.0,58.0,117.0,22.0,25.0,281.02127659574467,75.67021276595744,47
2014,179379016,219.0,143.0,311.0,86.0,58.0,120.0,19.0,22.0,268.25531914893617,71.26212765957447,47
2015,183995785,219.0,143.0,311.0,85.0,57.0,119.0,17.0,22.0,254.58085106382978,67.0127659574468,47
2016,188666931,219.0,143.0,311.0,83.0,55.0,116.0,16.0,24.0,242.63829787234042,62.043404255319146,47
2017,193495907,219.0,143.0,311.0,81.0,53.0,115.0,14.0,24.0,233.51063829787233,58.317021276595746,47
2018,198387623,219.0,143.0,311.0,80.0,52.0,114.0,12.0,24.0,224.89361702127658,53.857446808510645,47
2019,203304492,219.0,143.0,311.0,77.0,49.0,110.0,11.0,26.0,217.82978723404256,50.223404255319146,47
2020,208327405,219.0,143.0,311.0,72.0,46.0,105.0,7.6,30.0,209.63404255319148,52.553829787234044,47
2021,213401323,219.0,143.0,311.0,59.0,37.0,86.0,5.9,44.0,207.10638297872342,49.82808510638298,47
2022,218541212,219.0,143.0,311.0,45.0,28.0,65.0,5.7,59.0,205.29787234042553,42.33127659574468,47
